season_id,draft_id,match_id,player1,player2,player1Wins,player2Wins,draws,round
Season-4,20241228,Season-4_20241228_1_Manuel_Ivo,Manuel,Ivo,1,2,0,1
Season-4,20241228,Season-4_20241228_1_Dimlas_Myri,Dimlas,Myri,2,0,0,1
Season-4,20241228,Season-4_20241228_2_Andrin_Tommy,Andrin,Tommy,0,2,0,2
Season-4,20241228,Season-4_20241228_2_Tobi_Sili,Tobi,Sili,2,0,0,2
Season-4,20241228,Season-4_20241228_2_Manuel_Noe T.,Manuel,Noe T.,0,2,0,2
Season-4,20241228,Season-4_20241228_2_Yannik_Myri,Yannik,Myri,0,2,0,2
Season-4,20241228,Season-4_20241228_2_Dimlas_Ivo,Dimlas,Ivo,1,2,0,2
Season-4,20241228,Season-4_20241228_2_Lukas Stalder_Joel K.,Lukas Stalder,Joel K.,1,1,1,2
Season-4,20241228,Season-4_20241228_3_Yannik_Manuel,Yannik,Manuel,1,2,0,3
Season-4,20241228,Season-4_20241228_3_Tobi_Ivo,Tobi,Ivo,0,2,0,3
Season-4,20241228,Season-4_20241228_3_Myri_Joel K.,Myri,Joel K.,1,1,1,3
Season-4,20241228,Season-4_20241228_3_Dimlas_Noe T.,Dimlas,Noe T.,1,2,0,3
Season-4,20241228,Season-4_20241228_3_Andrin_Sili,Andrin,Sili,0,2,0,3
Season-4,20241228,Season-4_20241228_3_Lukas Stalder_Tommy,Lukas Stalder,Tommy,0,2,0,3
Season-4,20241228,Season-4_20241228_4_Manuel_Andrin,Manuel,Andrin,1,2,0,4
Season-4,20241228,Season-4_20241228_4_Ivo_Tommy,Ivo,Tommy,2,1,0,4
Season-4,20241228,Season-4_20241228_4_Noe T._Lukas Stalder,Noe T.,Lukas Stalder,2,1,0,4
Season-4,20241228,Season-4_20241228_4_Joel K._Sili,Joel K.,Sili,0,2,0,4
Season-4,20241228,Season-4_20241228_4_Tobi_Myri,Tobi,Myri,0,2,0,4
Season-4,20241228,Season-4_20241228_4_Dimlas_Yannik,Dimlas,Yannik,2,0,0,4
Season-4,20250112,Season-4_20250112_1_Tommy_Lukas Stalder,Tommy,Lukas Stalder,0,2,0,1
Season-4,20250112,Season-4_20250112_1_Noe T._Sili,Noe T.,Sili,0,2,0,1
Season-4,20250112,Season-4_20250112_1_Ivo_Andrin,Ivo,Andrin,1,2,0,1
Season-4,20250112,Season-4_20250112_1_Dimlas_Matthias,Dimlas,Matthias,2,0,0,1
Season-4,20250112,Season-4_20250112_1_Guy_Yannik,Guy,Yannik,2,0,0,1
Season-4,20250112,Season-4_20250112_1_Valentin_Manuel,Valentin,Manuel,0,2,0,1
Season-4,20250112,Season-4_20250112_2_Tommy_Yannik,Tommy,Yannik,1,2,0,2
Season-4,20250112,Season-4_20250112_2_Dimlas_Sili,Dimlas,Sili,2,0,0,2
Season-4,20250112,Season-4_20250112_2_Ivo_Valentin,Ivo,Valentin,1,2,0,2
Season-4,20250112,Season-4_20250112_2_Matthias_Noe T.,Matthias,Noe T.,1,2,0,2
Season-4,20250112,Season-4_20250112_2_Lukas Stalder_Andrin,Lukas Stalder,Andrin,0,1,0,2
