season_id,player,player_id,archetype,games_won,games_played,game_win_rate,matches_won,matches_played,match_win_rate
Season-4,Noe T.,11,Combo,5,10,0.5,2,4,0.5
Season-4,Noe T.,11,Combo-Control,5,11,0.4545454545454545,2,4,0.5
Season-4,Noe T.,11,Control-Aggro (Midrange),8,26,0.3076923076923077,3,12,0.25
Season-4,Pali,14,Aggro,2,10,0.2,0,4,0.0
Season-4,Pali,14,Control,6,11,0.5454545454545454,2,4,0.5
Season-4,Sam,7,Control,8,18,0.4444444444444444,3,8,0.375
Season-4,Sili,6,Aggro,17,26,0.6538461538461539,8,12,0.6666666666666666
Season-4,Sili,6,Aggro-Combo,12,19,0.631578947368421,5,8,0.625
Season-4,Sili,6,Combo,11,19,0.5789473684210527,5,8,0.625
Season-4,Sili,6,Combo-Control,8,20,0.4,3,8,0.375
Season-4,Sili,6,Control,5,8,0.625,2,4,0.5
Season-4,Tinu,4,Combo,9,20,0.45,3,8,0.375
Season-4,Tinu,4,Combo-Control,6,9,0.6666666666666666,2,4,0.5
Season-4,Tinu,4,Control,5,9,0.5555555555555556,2,4,0.5
Season-4,Tinu,4,Control-Aggro (Midrange),5,10,0.5,2,4,0.5
Season-4,Tobi,13,Aggro,8,17,0.4705882352941176,3,8,0.375
Season-4,Tobi,13,Aggro-Combo,6,12,0.5,2,4,0.5
Season-4,Tobi,13,Control,6,10,0.6,2,4,0.5
Season-4,Tommy,16,Aggro,6,8,0.75,2,4,0.5
Season-4,Tommy,16,Aggro-Control (Tempo),20,30,0.6666666666666666,9,12,0.75
Season-4,Tommy,16,Combo,9,21,0.4285714285714285,3,8,0.375
Season-4,Tommy,16,Combo-Control,6,9,0.6666666666666666,2,4,0.5
Season-4,Tommy,16,Control,6,17,0.3529411764705882,3,8,0.375
Season-4,Valentin,19,Combo,12,27,0.4444444444444444,6,12,0.5
Season-4,Valentin,19,Control,2,8,0.25,1,4,0.25
Season-4,Valentin,19,Control-Aggro (Midrange),7,10,0.7,3,4,0.75
Season-4,Yannik,9,Aggro,3,8,0.375,1,4,0.25
Season-4,Yannik,9,Aggro-Combo,4,9,0.4444444444444444,1,4,0.25
Season-4,Yannik,9,Aggro-Control (Tempo),4,9,0.4444444444444444,1,4,0.25
Season-4,Yannik,9,Combo,0,8,0.0,0,4,0.0
Season-4,Yannik,9,Control,1,9,0.1111111111111111,0,4,0.0
Season-4,Yannik,9,Control-Aggro (Midrange),4,18,0.2222222222222222,1,8,0.125
Season-5,Andrin,5,Aggro,22,38,0.5789473684210527,10,16,0.625
Season-5,Andrin,5,Aggro-Control (Tempo),11,21,0.5238095238095238,4,8,0.5
Season-5,Andrin,5,Combo,11,19,0.5789473684210527,4,8,0.5
