season_id,scryfallId,archetype,count
Season-4,079e6263-e54c-4899-a336-5315909b9322,Aggro-Control (Tempo),1
Season-4,079e6263-e54c-4899-a336-5315909b9322,Combo,1
Season-4,079e6263-e54c-4899-a336-5315909b9322,Combo-Control,2
Season-4,079e6263-e54c-4899-a336-5315909b9322,Control,1
Season-4,07a3d9e8-8597-498b-869c-cff79e0df516,Combo,3
Season-4,07a3d9e8-8597-498b-869c-cff79e0df516,Combo-Control,1
Season-4,07a3d9e8-8597-498b-869c-cff79e0df516,Control,2
Season-4,07c17b01-ee5d-491a-8403-b3f819b778c4,Combo,5
Season-4,07c17b01-ee5d-491a-8403-b3f819b778c4,Combo-Control,2
Season-4,0845f0b0-9413-4ddd-861d-9607636bebc6,Aggro,2
Season-4,0845f0b0-9413-4ddd-861d-9607636bebc6,Aggro-Combo,5
Season-4,0845f0b0-9413-4ddd-861d-9607636bebc6,Combo-Control,2
Season-4,09521f23-52d6-482d-9f3b-c4d12fcc08cc,Combo-Control,2
Season-4,09521f23-52d6-482d-9f3b-c4d12fcc08cc,Control,4
Season-4,09521f23-52d6-482d-9f3b-c4d12fcc08cc,Control-Aggro (Midrange),1
Season-4,09fd2d9c-1793-4beb-a3fb-7a869f660cd4,Aggro,7
Season-4,09fd2d9c-1793-4beb-a3fb-7a869f660cd4,Combo,1
Season-4,09fd2d9c-1793-4beb-a3fb-7a869f660cd4,Combo-Control,1
Season-4,0a26d900-c652-4f9c-8681-a35c5f8b1937,Aggro,4
Season-4,0a26d900-c652-4f9c-8681-a35c5f8b1937,Combo,1
Season-4,0a26d900-c652-4f9c-8681-a35c5f8b1937,Combo-Control,1
Season-4,0a26d900-c652-4f9c-8681-a35c5f8b1937,Control-Aggro (Midrange),1
Season-4,0aa3a844-97e6-4f5d-a36f-56fea4e06932,Aggro,1
Season-4,0aa3a844-97e6-4f5d-a36f-56fea4e06932,Control-Aggro (Midrange),1
Season-4,0ad38866-fc5f-4f62-89c1-afc0f50765aa,Aggro,5
Season-4,0ad38866-fc5f-4f62-89c1-afc0f50765aa,Aggro-Control (Tempo),1
Season-4,0ad38866-fc5f-4f62-89c1-afc0f50765aa,Combo,1
Season-4,0ad38866-fc5f-4f62-89c1-afc0f50765aa,Control,4
Season-4,0adcd4e5-d542-4293-8774-ace2305ef820,Aggro-Combo,1
Season-4,0adcd4e5-d542-4293-8774-ace2305ef820,Combo,3
Season-4,0adcd4e5-d542-4293-8774-ace2305ef820,Combo-Control,2
Season-4,0adcd4e5-d542-4293-8774-ace2305ef820,Control-Aggro (Midrange),1
Season-4,0c0e7131-db26-448d-afda-f48337a026f0,Combo,1
Season-4,0c0e7131-db26-448d-afda-f48337a026f0,Control,1
Season-4,0c3bc412-689f-4385-807b-ed60d6276d76,Combo,4
Season-4,0c3bc412-689f-4385-807b-ed60d6276d76,Control,3
Season-4,0c3d7e2c-a104-4757-9984-fb31088f92c4,Aggro-Control (Tempo),1
Season-4,0c3d7e2c-a104-4757-9984-fb31088f92c4,Combo,3
Season-4,0c3d7e2c-a104-4757-9984-fb31088f92c4,Control,4
Season-4,0c9a7cb0-5bff-48ff-b620-2838816ac9b5,Aggro-Control (Tempo),3
Season-4,0c9a7cb0-5bff-48ff-b620-2838816ac9b5,Combo,2
Season-4,0c9a7cb0-5bff-48ff-b620-2838816ac9b5,Control,3
Season-4,0c9a7cb0-5bff-48ff-b620-2838816ac9b5,Control-Aggro (Midrange),1
Season-4,0cb33b46-4d1b-4f97-bfdc-d815aee111da,Aggro,4
Season-4,0cb33b46-4d1b-4f97-bfdc-d815aee111da,Aggro-Control (Tempo),2
Season-4,0cb33b46-4d1b-4f97-bfdc-d815aee111da,Combo,3
Season-4,0cb33b46-4d1b-4f97-bfdc-d815aee111da,Control,2
Season-4,0ce44270-a684-4489-9077-521456e6dfaa,Aggro-Control (Tempo),3
Season-4,0ce44270-a684-4489-9077-521456e6dfaa,Combo,5
Season-4,0ce44270-a684-4489-9077-521456e6dfaa,Combo-Control,1
Season-4,0ce44270-a684-4489-9077-521456e6dfaa,Control,2
Season-4,0d08f5e4-d2d3-4659-86d4-a983d80e3b2c,Aggro-Control (Tempo),1
Season-4,0d08f5e4-d2d3-4659-86d4-a983d80e3b2c,Combo,1
Season-4,0d08f5e4-d2d3-4659-86d4-a983d80e3b2c,Combo-Control,1
Season-4,0d08f5e4-d2d3-4659-86d4-a983d80e3b2c,Control,4
Season-4,0d16e8e0-31b2-4389-afd6-783c501f6fa0,Aggro,6
Season-4,0d16e8e0-31b2-4389-afd6-783c501f6fa0,Combo,1
Season-4,0d16e8e0-31b2-4389-afd6-783c501f6fa0,Combo-Control,1
Season-4,0d16e8e0-31b2-4389-afd6-783c501f6fa0,Control,3
Season-4,0d60eabe-b281-4eba-9c26-287364ed2067,Aggro,2
Season-4,0d60eabe-b281-4eba-9c26-287364ed2067,Control,1
Season-4,0d60eabe-b281-4eba-9c26-287364ed2067,Control-Aggro (Midrange),1
Season-4,0da69523-cece-425a-b08a-fb27fac29374,Aggro,4
Season-4,0da69523-cece-425a-b08a-fb27fac29374,Control,1
Season-4,0da69523-cece-425a-b08a-fb27fac29374,Control-Aggro (Midrange),1
Season-4,0e0d989d-7186-40dc-bdfe-cfbb77656bc8,Aggro-Combo,1
Season-4,0e0d989d-7186-40dc-bdfe-cfbb77656bc8,Combo,5
Season-4,0e51d796-7279-4c06-87f0-37adbdaa41df,Aggro,1
Season-4,0e51d796-7279-4c06-87f0-37adbdaa41df,Combo,5
Season-4,0e51d796-7279-4c06-87f0-37adbdaa41df,Combo-Control,1
Season-4,0e606072-a3aa-4300-ba90-ec92a721fa76,Aggro-Control (Tempo),2
Season-4,0e606072-a3aa-4300-ba90-ec92a721fa76,Combo,2
Season-4,0e606072-a3aa-4300-ba90-ec92a721fa76,Control,2
Season-4,0e9aeaa8-9a75-4719-992f-cbb316f72175,Aggro,2
Season-4,0e9aeaa8-9a75-4719-992f-cbb316f72175,Aggro-Combo,1
Season-4,0e9aeaa8-9a75-4719-992f-cbb316f72175,Combo,1
Season-4,0e9aeaa8-9a75-4719-992f-cbb316f72175,Control,1
Season-4,0e9aeaa8-9a75-4719-992f-cbb316f72175,Control-Aggro (Midrange),3
Season-4,0ecbe097-ba51-42e5-957c-382eb66c08f0,Aggro,9
Season-4,0ecbe097-ba51-42e5-957c-382eb66c08f0,Control,2
Season-4,0eee981e-5d26-4810-90e1-432f3c3107f2,Aggro-Combo,1
Season-4,0eee981e-5d26-4810-90e1-432f3c3107f2,Combo-Control,2
Season-4,0eee981e-5d26-4810-90e1-432f3c3107f2,Control-Aggro (Midrange),2
Season-4,0f3c8470-1cc8-4383-8782-c022867d46e8,Combo,1
Season-4,0f7585c8-9e21-4eef-afc1-2852de23db2f,Aggro,1
Season-4,0f7585c8-9e21-4eef-afc1-2852de23db2f,Aggro-Control (Tempo),1
Season-4,0f7585c8-9e21-4eef-afc1-2852de23db2f,Combo,3
Season-4,0f7585c8-9e21-4eef-afc1-2852de23db2f,Combo-Control,2
Season-4,0f7585c8-9e21-4eef-afc1-2852de23db2f,Control,2
Season-4,0fb4c734-c698-46f2-bc78-5f036f472e5b,Aggro,2
Season-4,0fb4c734-c698-46f2-bc78-5f036f472e5b,Combo,1
Season-4,0fe070f4-8877-4280-b8fd-869f3ac34ab6,Aggro,1
Season-4,0fe070f4-8877-4280-b8fd-869f3ac34ab6,Control,1
Season-4,10158a5e-5a03-41ab-85d2-0907ccf32c9b,Combo,4
Season-4,10158a5e-5a03-41ab-85d2-0907ccf32c9b,Combo-Control,2
Season-4,10158a5e-5a03-41ab-85d2-0907ccf32c9b,Control,2
Season-4,1066a94a-8e4f-4d77-820b-7a77a18116f0,Aggro,4
Season-4,1066a94a-8e4f-4d77-820b-7a77a18116f0,Combo,1
Season-4,1066a94a-8e4f-4d77-820b-7a77a18116f0,Combo-Control,2
Season-4,1066a94a-8e4f-4d77-820b-7a77a18116f0,Control,2
Season-4,106f9629-b3aa-4703-82fb-c1e771bbce72,Aggro,3
Season-4,106f9629-b3aa-4703-82fb-c1e771bbce72,Control,2
Season-4,106f9629-b3aa-4703-82fb-c1e771bbce72,Control-Aggro (Midrange),1
Season-4,107492bd-b32f-4692-917c-7771986b5bf7,Combo,4
Season-4,107492bd-b32f-4692-917c-7771986b5bf7,Combo-Control,2
Season-4,107492bd-b32f-4692-917c-7771986b5bf7,Control-Aggro (Midrange),1
Season-4,1132218d-56cd-441e-9006-df3c50344491,Aggro-Combo,2
Season-4,1132218d-56cd-441e-9006-df3c50344491,Aggro-Control (Tempo),2
Season-4,1132218d-56cd-441e-9006-df3c50344491,Combo,1
Season-4,1132218d-56cd-441e-9006-df3c50344491,Combo-Control,1
Season-4,1132218d-56cd-441e-9006-df3c50344491,Control,1
Season-4,1132218d-56cd-441e-9006-df3c50344491,Control-Aggro (Midrange),3
Season-4,113f48b9-a972-4e2c-af95-05ab078e01f2,Combo,2
Season-4,1163fe84-c5d5-42c8-b7cd-d206a9b0bd3f,Aggro,2
Season-4,1163fe84-c5d5-42c8-b7cd-d206a9b0bd3f,Combo,1
Season-4,1163fe84-c5d5-42c8-b7cd-d206a9b0bd3f,Combo-Control,2
Season-4,1163fe84-c5d5-42c8-b7cd-d206a9b0bd3f,Control,1
Season-4,1163fe84-c5d5-42c8-b7cd-d206a9b0bd3f,Control-Aggro (Midrange),1
Season-4,139b90cd-8272-457a-be32-1298145345be,Aggro-Control (Tempo),1
Season-4,139b90cd-8272-457a-be32-1298145345be,Combo,4
Season-4,139b90cd-8272-457a-be32-1298145345be,Control,4
Season-4,14065271-d942-42a8-aa38-d8a622c0375d,Aggro,1
Season-4,14065271-d942-42a8-aa38-d8a622c0375d,Aggro-Control (Tempo),1
Season-4,14065271-d942-42a8-aa38-d8a622c0375d,Combo,1
Season-4,14065271-d942-42a8-aa38-d8a622c0375d,Combo-Control,1
Season-4,14065271-d942-42a8-aa38-d8a622c0375d,Control,2
Season-4,14065271-d942-42a8-aa38-d8a622c0375d,Control-Aggro (Midrange),1
Season-4,1453f92e-df2d-4789-aa1b-a5b5c51567d4,Aggro-Control (Tempo),2
Season-4,1453f92e-df2d-4789-aa1b-a5b5c51567d4,Combo,5
Season-4,1453f92e-df2d-4789-aa1b-a5b5c51567d4,Combo-Control,1
Season-4,1453f92e-df2d-4789-aa1b-a5b5c51567d4,Control,3
Season-4,1453f92e-df2d-4789-aa1b-a5b5c51567d4,Control-Aggro (Midrange),1
Season-4,1571b584-9007-45ee-a3c3-6c72f227fee2,Combo,8
Season-4,1571b584-9007-45ee-a3c3-6c72f227fee2,Control,1
Season-4,1571b584-9007-45ee-a3c3-6c72f227fee2,Control-Aggro (Midrange),1
Season-4,15c34f32-49d9-4a0d-83b2-28172f54fdd1,Aggro-Combo,1
Season-4,15c34f32-49d9-4a0d-83b2-28172f54fdd1,Combo,2
Season-4,15c34f32-49d9-4a0d-83b2-28172f54fdd1,Combo-Control,2
Season-4,15c34f32-49d9-4a0d-83b2-28172f54fdd1,Control-Aggro (Midrange),1
Season-4,15db4353-9c46-4fe4-b22e-0cf024aa9dfc,Aggro,3
Season-4,15db4353-9c46-4fe4-b22e-0cf024aa9dfc,Combo-Control,1
Season-4,15db4353-9c46-4fe4-b22e-0cf024aa9dfc,Control,1
Season-4,15faa763-b897-4e86-b094-73f3236291a9,Combo,4
Season-4,15faa763-b897-4e86-b094-73f3236291a9,Combo-Control,1
Season-4,15faa763-b897-4e86-b094-73f3236291a9,Control,5
Season-4,162018eb-5483-4fa2-9c5a-abb639eecf91,Aggro,2
Season-4,162018eb-5483-4fa2-9c5a-abb639eecf91,Combo-Control,3
Season-4,162e81d3-6cd4-4cb8-8ed8-cfbd8d34ca71,Combo,1
Season-4,162e81d3-6cd4-4cb8-8ed8-cfbd8d34ca71,Control,4
Season-4,1658f12b-8ac5-4d29-86d5-f20c4d5f7e48,Combo,1
